AeshniOdoHex,AmpMal,AphidaHemHex,AraAra,BelostHemHex,BrachyDipHex,BrachyTriHex,CaenidEphHex,CambarDecMal,CeratoDipHex,ChaoboDipHex,ChironDipHex,CicadeHemHex,CoenagOdoHex,Cop,CordulOdoHex,CorixiHemHex,CuliciDipHex,CurculColHex,DipHex,DytiscColHex,EphydrDipHex,GerridHemHex,GyriniColHex,HaliplColHex,HebridHemHex,HelophColHex,Hir,HydAra,HydropColHex,IsonycEphHex,IsotomColHex,LibellOdoHex,LimnepTriHex,LymnaeProGas,MesoveHemHex,MuscidDipHex,NepidaHemHex,NotoneHemHex,Oli,PhrygaTriHex,PhysidProGas,PlanorPulGas,PleidaHemHex,PodOst,PoduriColHex,ScirtiColHex,SminthColHex,SphaerVenBiv,StratiDipHex,TipuliDipHex,VeliidHemHex
1,22,0,0,0,0,0,1,0,14,0,104,0,12,50,0,119,0,0,0,12,0,0,0,3,5,0,3,5,1,9,0,0,0,21,0,0,0,12,2,0,240,151,0,348,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
0,9,0,0,0,0,0,0,0,1,0,14,0,1,0,0,37,0,0,0,2,0,0,0,3,0,0,0,1,2,6,0,0,0,38,0,0,0,2,0,0,302,342,0,214,0,0,0,0,1,0,0
1,1,0,0,0,0,0,0,0,1,0,387,0,0,0,0,58,5,0,0,9,1,0,0,0,0,0,0,0,23,2,0,0,0,102,0,0,0,2,1,0,12,243,0,47,0,238,0,0,0,0,0
0,0,0,0,0,0,0,0,0,1,0,653,0,0,4,0,125,2,0,0,1,6,0,0,0,1,0,0,0,18,5,1,1,0,44,0,0,0,2,0,0,7,102,0,292,0,10,0,0,0,0,0
0,387,0,0,0,0,0,1,0,5,0,3,0,9,3,0,116,0,0,0,18,0,0,0,0,0,0,2,4,0,3,2,0,0,26,0,0,0,5,0,0,173,133,2,142,0,0,0,0,0,0,3
0,64,0,0,0,0,0,4,0,1,0,11,0,18,215,0,287,0,0,0,3,0,0,0,0,0,0,3,16,0,5,0,0,0,34,0,0,0,12,0,0,356,604,2,231,0,0,0,0,0,0,0
0,3,0,0,0,0,0,0,0,0,0,326,0,0,2,0,22,0,0,0,2,0,0,0,0,0,0,1,1,0,1,0,0,0,63,0,0,0,0,0,0,112,1002,0,38,0,0,0,0,0,0,0
14,0,0,0,0,0,0,0,0,1,0,177,0,7,0,0,27,0,0,0,3,0,0,0,3,1,0,0,0,20,0,0,1,0,147,0,0,0,6,0,0,10,54,0,11,0,23,0,0,1,0,0
7,0,0,0,0,0,0,0,0,0,0,220,0,7,0,0,118,0,0,0,2,2,0,0,0,0,0,0,1,18,3,1,9,0,61,1,0,0,12,0,0,5,169,1,15,0,7,0,0,0,1,0
16,0,0,0,0,0,0,0,0,0,0,55,0,28,0,0,4,0,1,0,1,0,0,0,5,0,0,0,0,0,1,0,2,0,261,0,0,0,6,0,0,80,463,1,112,0,0,0,0,1,0,0
36,0,0,0,2,0,0,0,0,0,2,124,0,23,1,0,20,0,0,0,1,0,0,0,14,0,0,0,1,0,4,0,2,0,483,0,0,0,14,0,0,178,373,4,142,0,0,0,0,1,0,0
0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,35,0,0,0,0,0,0,23,333,0,0,0,0,0,0,0,0,0
4,13,0,0,0,0,0,0,0,0,0,17,0,1,1,0,3,0,0,0,3,0,0,0,0,0,0,0,0,21,0,0,0,0,128,0,0,0,35,1,0,25,20,2,40,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,8,0,0,0,3,0,0,31,76,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,0,0,0,0,0,0,23,4,0,2,0,0,0,0,0,0,0
5,256,0,0,3,0,0,1,0,0,2,244,0,22,0,0,27,0,1,0,9,0,2,0,1,1,0,1,1,7,4,4,0,0,13,0,0,0,24,0,0,117,77,146,1238,0,0,0,0,1,0,0
6,92,0,0,1,0,0,0,1,0,0,12,0,72,0,1,12,0,0,0,4,0,0,0,0,0,0,0,3,1,1,0,0,0,31,0,0,0,2,0,0,17,121,178,134,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,2,283,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,6,0,0,0,1,0,0,13,56,1,59,0,0,0,0,0,0,0
2,0,0,3,0,0,0,44,0,1,0,34,0,15,2,0,62,0,0,0,3,5,0,0,0,0,0,2,6,8,21,0,0,0,73,1,0,0,13,0,0,93,320,0,46,0,0,0,0,0,0,0
0,1,0,0,0,0,1,38,0,0,0,79,0,23,2,0,90,0,0,0,4,2,0,0,1,0,0,2,11,3,25,0,0,0,111,0,0,0,10,0,1,108,432,0,13,0,0,0,4,0,0,0
0,0,0,0,0,0,0,6,0,0,0,13,0,4,0,0,19,0,0,0,1,0,0,0,0,0,0,0,0,0,5,0,1,0,9,0,0,0,1,0,0,15,35,1,4,0,0,0,0,0,0,0
20,100,0,4,1,0,0,3,0,0,0,13,0,10,20,0,33,0,0,0,27,0,0,0,3,0,0,4,2,23,2,4,0,0,199,0,0,0,3,0,0,267,123,2,37,0,0,0,0,2,0,41
0,53,0,0,0,0,0,4,1,0,0,146,0,6,0,0,77,0,0,0,9,0,0,0,4,0,0,2,44,3,5,0,0,0,146,0,0,0,10,0,0,405,1284,0,109,0,0,0,0,3,0,1
